Movie_Title,Start_Year,Score,Adjusted_Score,Consensus,Synopsis,Director,Cast_Names
Running Scared,1986,61,62.628,"Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining.","Ray and Danny (Gregory Hines, Billy Crystal) are two Chicago police detectives hot on the trail of drug kingpin Julio... [More]",Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer"
Equilibrium,2002,40,42.464,Equilibrium is a reheated mishmash of other sci-fi movies.,"In a futuristic world, a regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and... [More]",Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen"
Hero,2002,94,101.083,"With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.","In this visually arresting martial arts epic set in ancient China, an unnamed fighter (Jet Li) is being honored for... [More]",Yimou Zhang,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Donnie Yen"
Road House,1989,41,44.727,Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.,"The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton (Patrick Swayze) has... [More]",Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
Unstoppable,2010,87,94.795,"As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years.","When a massive, unmanned locomotive roars out of control, the threat is more ominous than just a derailment. The train... [More]",Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn"
Shaft,1971,88,93.456,"This is the man that would risk his neck for his brother, man. Can you dig it?","John Shaft (Richard Roundtree) is the ultimate in suave black detectives. He first finds himself up against Bumpy (Moses Gunn),... [More]",Gordon Parks,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi"
The Villainess,2017,85,89.046,The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,"Honed from childhood to be an elite assassin, Sook-hee embarks on a rampage of violence and revenge to finally earn... [More]",Jeong Byeong-gil,"Kim Ok-bin, Shin Ha-kyun, Sung-joon, Kim Seo-hyung"
Highlander,1986,71,74.343,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.",When the mystical Russell Nash (Christopher Lambert) kills a man in a sword fight in a New York City parking... [More],Russell Mulcahy,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown"
Die Hard 2,1990,70,75.391,"It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies.","A year after his heroics in L.A, detective John McClane (Bruce Willis) is mixed up in another terrorist plot, this... [More]",Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson"
National Treasure,2004,46,51.689,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.",Historian and code-breaker Ben Gates (Nicolas Cage) has been searching his whole life for a rumored treasure dating back to... [More],Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean"
The Protector,2005,53,55.775,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing.",A young fighter (Tony Jaa) travels to Australia to retrieve stolen elephants that were promised originally to the king of... [More],Prachya Pinkaew,"Tony Jaa, Johnny Nguyen, Nathan Jones, Phetthai Vongkumlao"
Revenge,2017,93,99.83,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin.",Jen is enjoying a romantic getaway with her wealthy boyfriend -- until his two sleazy friends arrive for an unannounced... [More],Coralie Fargeat,"Matilda Anna Ingrid Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède"
El Mariachi,1992,91,97.756,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable.",El Mariachi (Carlos Gallardo) is a traveling guitar player with the modest desire to play music for a living. Looking... [More],Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt"
A Touch of Zen,1971,97,101.006,"A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre.","Ku Shen Chai (Chun Shih), an unmotivated artist in his early 30s, still lives with his mother, but he is... [More]",King Hu,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao"
Top Gun,1986,57,64.8,"Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air.",The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying... [More],Tony Scott,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer"
Con Air,1997,58,62.455,"Con Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive.","Just-paroled army ranger Cameron Poe (Nicolas Cage) is headed back to his wife (Monica Potter), but must fly home aboard... [More]",Simon West,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi"
The Expendables 2,2012,67,72.907,"Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse.","Mercenary leader Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham) and the rest of the Expendables team reunite when Mr.... [More]",Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren"
The Mummy,1999,60,64.706,"It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch.","The Mummy is a rousing, suspenseful and horrifying epic about an expedition of treasure-seeking explorers in the Sahara Desert in... [More]",Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
Mr. & Mrs. Smith,2005,60,67.818,"Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick.","John (Brad Pitt) and Jane Smith (Angelina Jolie), a couple in a stagnating marriage, live a deceptively mundane existence. However,... [More]",Doug Liman,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody"
Rush Hour,1998,62,66.344,"While it won't win any awards for originality, the combustible chemistry between its stars means Rush Hour hits just as hard on either side of the action-comedy divide.","When a Chinese diplomat's daughter is kidnapped in Los Angeles, he calls in Hong Kong Detective Inspector Lee (Jackie Chan)... [More]",Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña"
The Equalizer,2014,61,70.519,"The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers.","Robert McCall (Denzel Washington), a man of mysterious origin who believes he has put the past behind him, dedicates himself... [More]",Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour"
Captain America: Civil War,2016,91,111.89,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The... [More],Anthony Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
Air Force One,1997,78,81.998,"This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills.","After making a speech in Moscow vowing to never negotiate with terrorists, President James Marshall (Harrison Ford) boards Air Force... [More]",Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson"
Bloodsport,1988,46,47.822,"This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling.","U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly... [More]",Newt Arnold,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton"
Blade,1998,58,64.57,"Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.","A half-mortal, half-immortal is out to avenge his mother's death and rid the world of vampires. The modern-day technologically advanced... [More]",Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright"
